City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,nantai,40.9241,122.8044,15.46,49,79,3.81,CN,2023-10-30 01:13:42
189,morehead city,34.7229,-76.726,22.0,86,0,4.63,US,2023-10-30 01:12:21
190,guisa,20.255,-76.5386,22.28,97,85,0.9,CU,2023-10-30 01:13:43
191,tazovsky,67.4667,78.7,-15.36,91,21,0.7,RU,2023-10-30 01:08:14
192,takoradi,4.8845,-1.7554,25.36,87,7,1.28,GH,2023-10-30 01:13:43
193,port mathurin,-19.6833,63.4167,24.97,77,8,6.79,MU,2023-10-30 01:07:24
194,dubai,25.2582,55.3047,28.96,65,0,3.6,AE,2023-10-30 01:02:55
195,neiafu,-18.65,-173.9833,25.38,88,75,5.66,TO,2023-10-30 01:13:44
196,udachny,66.4167,112.4,-18.64,76,96,4.53,RU,2023-10-30 01:13:44
197,harstad,68.799,16.5293,-1.03,95,98,2.24,NO,2023-10-30 01:13:45
198,luderitz,-26.6481,15.1594,19.86,37,11,2.69,NA,2023-10-30 01:09:08
199,al ghayzah,16.2079,52.176,26.19,67,67,2.15,YE,2023-10-30 01:13:45
200,georgetown,5.4112,100.3354,30.96,95,20,3.6,MY,2023-10-30 01:06:48
201,alto parana,-23.1289,-52.3189,22.64,85,61,2.93,BR,2023-10-30 01:13:46
202,dryden,49.7833,-92.7503,-5.84,86,100,3.6,CA,2023-10-30 01:13:46
203,kokkola,63.8385,23.1307,-1.15,95,85,1.03,FI,2023-10-30 01:13:46
204,luza,60.6308,47.2512,-2.86,93,98,2.95,RU,2023-10-30 01:13:47
205,mhamid,29.82,-5.72,22.66,27,100,5.26,MA,2023-10-30 01:13:47
206,ouallam,14.3188,2.0866,27.88,16,1,3.71,NE,2023-10-30 01:13:47
207,lhokseumawe,5.1801,97.1507,29.65,67,75,2.98,ID,2023-10-30 01:13:47
208,port-cartier,50.0334,-66.8654,0.97,58,77,4.58,CA,2023-10-30 01:13:48
209,sergeyevka,53.88,67.4158,4.13,98,100,4.36,KZ,2023-10-30 01:13:48
210,rio san juan,19.6439,-70.0763,25.92,90,99,3.43,DO,2023-10-30 01:13:48
211,karliova,39.2983,41.0142,10.58,62,100,1.87,TR,2023-10-30 01:13:49
212,gizo,-8.103,156.8419,28.25,78,88,4.33,SB,2023-10-30 01:09:18
213,remire-montjoly,4.9167,-52.2667,24.02,100,20,0.0,GF,2023-10-30 01:06:57
214,kabare,-2.4683,28.8242,18.38,89,27,1.19,CD,2023-10-30 01:13:50
215,sao gabriel da cachoeira,-0.1303,-67.0892,22.61,98,100,0.96,BR,2023-10-30 01:13:50
216,ribeira brava,32.65,-17.0667,20.95,80,97,0.89,PT,2023-10-30 01:13:50
217,calimete,22.5333,-80.9061,22.94,93,28,2.85,CU,2023-10-30 01:13:51
218,jinka,5.65,36.65,18.08,89,84,1.05,ET,2023-10-30 01:13:51
219,khandyga,62.6667,135.6,-6.19,95,100,2.11,RU,2023-10-30 01:13:51
220,hammerfest,70.6634,23.6821,-3.75,80,40,1.03,NO,2023-10-30 01:08:08
221,charlestown,-32.95,151.6667,33.88,24,3,3.58,AU,2023-10-30 01:13:52
222,conception bay south,47.4999,-52.9981,4.4,65,8,9.91,CA,2023-10-30 01:13:52
223,longyearbyen,78.2186,15.6401,-5.09,86,75,5.66,SJ,2023-10-30 01:06:55
224,ketchikan,55.3422,-131.6461,4.99,87,75,1.54,US,2023-10-30 01:13:52
225,kununurra,-15.7667,128.7333,38.99,27,98,3.09,AU,2023-10-30 01:08:11
226,axim,4.8699,-2.2405,25.41,87,36,1.19,GH,2023-10-30 01:07:48
227,nur-sultan,51.1801,71.446,9.97,87,75,9.0,KZ,2023-10-30 01:13:53
